week,ord_cnt,S2,S500,M2,M500
201608,1,2,0,0,0
201613,2,0,0,5,0
201614,10,0,0,63,4
201615,6,0,0,42,0
201616,1,2,0,0,0
201617,1,0,0,1,0
201618,12,2,0,87,4
201619,10,0,5,29,9
201620,15,2,1,37,5
201621,3,0,0,68,0
201622,9,4,1,10,3
201623,21,0,0,53,1
201624,4,1,0,1,2
201625,4,4,3,1,0
201626,2,0,0,4,0
201627,6,2,2,8,2
201628,1,0,0,1,0
201629,2,0,11,1,0
201630,4,2,1,3,0
201631,1,0,0,2,0
201632,6,1,7,3,0
201633,6,0,6,10,0
201634,4,1,1,5,1
201635,32,0,0,100,2
201636,5,2,0,5,0
201637,3,0,0,1,3
201638,2,2,0,1,0
201639,7,2,0,5,14
201640,12,2,0,24,18
201641,2,0,0,3,0
201642,6,4,0,9,1
201643,1,0,0,1,0
201644,7,2,0,3,4
201645,12,0,0,44,8
201646,11,2,0,10,10
201647,13,0,3,13,6
201648,10,0,3,13,17
201649,7,2,0,7,1
201650,8,4,0,8,2
201651,3,2,0,3,0
201652,4,0,0,4,8
201653,2,3,0,1,0
201701,5,1,1,1,3
201702,5,0,1,4,4
201703,8,4,4,10,0
201704,4,3,0,4,1
201705,8,0,0,14,2
201706,5,1,0,11,2
201707,10,1,19,11,5
201708,11,0,5,22,3
201709,2,0,0,3,0
201710,8,0,0,25,2
201711,10,1,0,23,11
201712,17,1,0,59,15
201713,22,14,13,92,23
201714,12,0,0,52,0
201715,7,2,3,7,0
201716,13,1,0,14,14
201717,10,0,1,20,1
201718,5,1,0,28,0
201719,21,1,14,38,27
201720,25,0,0,38,26
201721,32,0,0,67,17
201722,47,2,1,83,8
201723,51,2,0,57,3
201724,37,1,1,57,35
201725,19,1,20,45,6
201726,33,0,2,76,10
201727,42,3,8,64,12
201728,29,1,2,50,8
201729,28,1,2,36,10
201730,28,7,2,43,6
201731,26,5,11,39,2
201732,24,4,11,26,25
201733,21,1,5,27,7
201734,32,1,0,60,23
201735,24,5,2,28,16
201736,36,1,7,57,10
201737,31,1,6,57,38
201738,32,2,1,65,24
201739,27,7,5,49,13
201740,9,1,2,4,16
201741,34,2,12,38,21
201742,23,3,4,33,4
201743,31,0,5,52,12
201744,29,0,15,49,33
201745,23,0,2,38,3
201746,11,6,3,10,6
201747,14,9,7,0,6
201748,6,1,10,0,8
201749,7,4,2,0,3
201750,7,2,3,0,8
201751,12,3,6,0,15
201752,9,4,2,0,3
201801,16,12,4,2,17
201802,17,0,0,27,19
201803,31,4,3,48,10
201804,28,9,2,30,10
201805,29,8,1,54,10
201806,20,0,2,34,11
201807,17,2,2,23,12
201808,31,5,2,48,9
201809,30,6,2,38,6
201810,29,18,4,33,21
201811,35,0,2,62,30
201812,31,6,1,74,13
201813,37,6,3,106,25
201814,39,4,13,128,15
201815,28,2,1,42,13
201816,28,15,3,26,3
201817,25,2,7,27,11
201818,38,8,6,73,8
201819,45,1,6,89,19
201820,63,12,7,174,53
201821,31,2,0,56,18
201822,27,5,5,29,24
201823,23,2,1,27,6
201824,17,1,6,20,26
201825,20,1,0,42,8
201826,40,4,6,79,18
201827,25,6,7,27,13
201828,23,9,9,21,3
201829,29,6,2,39,27
201830,28,5,4,38,9
201831,29,6,1,82,12
201832,23,5,1,27,9
201833,31,8,3,63,6
201834,20,6,2,17,7
201835,19,5,4,16,15
201836,10,7,2,0,25
201837,19,13,5,0,30
201838,13,9,0,0,31
201839,6,1,2,2,5
201840,32,4,13,70,13
201841,19,2,1,23,15
201842,17,0,11,18,13
201843,14,1,6,5,38
201844,25,4,0,35,23
201845,13,0,1,13,14
201846,18,0,2,27,18
201847,29,5,8,33,5
201848,19,0,9,12,16
201849,17,0,8,20,3
201850,11,0,3,17,1
201851,13,0,0,22,14
201852,10,0,2,16,4
201853,1,0,0,1,0
201901,13,0,4,21,2
201902,15,0,3,19,1
201903,18,0,2,30,19
201904,14,0,3,24,4
201905,23,0,2,37,27
201906,17,0,8,30,4
201907,22,7,0,37,12
201908,14,1,1,22,5
201909,8,2,1,11,3
201910,18,6,1,24,14
201911,19,0,3,57,4
201912,27,10,13,101,13
201913,32,6,0,169,15
201914,27,2,4,83,7
201915,19,3,2,45,25
201916,22,5,6,29,8
201917,15,2,0,21,6
201918,20,2,4,54,11
201919,26,3,2,60,10
201920,43,0,13,111,40
201921,32,2,2,59,53
201922,18,1,8,29,21
201923,11,3,0,27,5
201924,25,5,12,21,26
201925,17,0,0,36,10
201926,27,6,2,43,21
201927,11,0,5,7,14
201928,19,3,0,40,21
201929,20,9,2,17,9
201930,23,6,5,26,5
201931,18,5,7,26,5
201932,13,0,6,27,24
201933,14,6,1,23,5
201934,17,2,2,20,16
201935,15,3,6,24,10
201936,20,1,8,24,4
201937,8,0,1,8,20
201938,30,7,12,25,28
201939,10,0,0,10,68
201940,25,5,0,32,13
201941,17,6,13,25,12
201942,11,2,3,11,0
201943,18,6,11,19,0
201944,12,3,33,21,0
201945,6,1,0,7,0
201946,10,4,3,11,0
201947,15,1,12,22,0
201948,12,2,7,11,2
201949,9,0,9,11,0
201950,8,6,10,12,0
201951,10,0,5,8,7
201952,5,1,5,2,0
201953,5,3,1,4,0
202001,11,2,8,10,11
202002,11,1,11,17,0
202003,8,2,0,15,0
202004,5,1,0,7,8
202005,12,0,6,22,8
202006,7,7,0,8,0
202007,2,0,3,0,0
202008,4,1,5,0,4
202009,15,19,9,0,0
202010,7,2,10,7,0
202011,8,2,2,4,3
202012,11,1,3,12,1
202013,7,1,1,2,8
202014,5,3,4,0,6
202015,1,6,0,0,0
202016,4,5,2,0,0
202017,2,0,3,0,0
202018,3,0,4,0,0
202019,1,0,1,0,0
202020,3,0,3,0,0
202021,8,0,5,19,4
202022,1,0,3,0,0
202023,3,2,3,0,0
202024,1,0,1,0,0
202025,2,1,3,0,0
202026,4,3,4,0,0
202027,5,3,4,0,0
202028,3,0,3,0,6
202030,2,4,0,0,0
202031,1,1,0,0,0
202033,2,0,6,0,0
202034,4,0,4,8,0
202036,1,0,0,0,6
202037,1,0,2,0,0
202038,2,6,0,0,0
202042,1,0,6,0,0
202043,3,5,2,0,1
