year,week,ea
2020,5,6
2020,6,16
2020,7,24
2020,8,69
2020,9,33
2020,10,33
2020,11,27
2020,12,33
2020,13,2
2020,14,0
2020,15,6
2020,16,24
2020,17,12
2020,18,15
2020,19,36
2020,20,24
2020,21,23
2020,22,21
2020,23,31
2020,24,76
2020,25,23
2020,26,33
2020,27,29
2020,28,30
2020,29,28
2020,30,31
2020,31,27
2020,32,22
2020,33,45
2020,34,116
2020,35,134
2020,36,87
2020,37,43
2020,38,68
2020,39,81
2020,40,40
2020,41,49
2020,42,122
2020,43,51
2020,44,34
2020,45,36
2020,46,69
2020,47,83
2020,48,92
2020,49,56
2020,50,45
2020,51,28
2020,52,55
2020,53,32
2021,1,3
2021,2,55
2021,3,73
2021,4,39
2021,5,43
2021,6,73
2021,7,16
2021,8,45
2021,9,38
2021,10,28
2021,11,23
2021,12,65
2021,13,83
2021,14,59
2021,15,38
2021,16,47
2021,17,63
2021,18,86
2021,19,68
2021,20,31
2021,21,73
2021,22,59
2021,23,69
2021,24,54
2021,25,29
2021,26,93
2021,27,47
2021,28,39
2021,29,40
2021,30,99
2021,31,75
2021,32,58
2021,33,109
2021,34,47
2021,35,41
2021,36,44
2021,37,42
2021,38,53
2021,39,51
2021,40,52
2021,41,27
2021,42,39
2021,43,8
2021,44,12
2021,45,35
2021,46,4
2021,47,22
2021,48,25
2021,49,29
2021,50,22
2021,51,26
2021,52,52
2021,53,54
